Date,Tourist Arrival,Ecxhange Rate
Jan-89,302358,2.7222
Feb-89,332160,2.7307
Mar-89,424164,2.7535
Apr-89,407578,2.7211
May-89,336534,2.6968
Jun-89,390537,2.7086
Jul-89,365968,2.6809
Aug-89,328002,2.6825
Sep-89,351584,2.698
Oct-89,444287,2.6945
Nov-89,398024,2.7028
Dec-89,472196,2.7032
Jan-90,530680,2.7041
Feb-90,557382,2.7032
Mar-90,661695,2.717
Apr-90,754449,2.7264
May-90,608055,2.7024
Jun-90,615231,2.7104
Jul-90,497944,2.7051
Aug-90,506438,2.6956
Sep-90,598768,2.6959
Oct-90,598582,2.6995
Nov-90,584647,2.6949
Dec-90,565236,2.703
Jan-91,379925,2.714
Feb-91,364720,2.6969
Mar-91,518768,2.7418
Apr-91,410288,2.7498
May-91,379081,2.7573
Jun-91,648257,2.781
Jul-91,491636,2.7868
Aug-91,457422,2.7806
Sep-91,432512,2.7577
Oct-91,444403,2.7469
Nov-91,446159,2.7412
Dec-91,570205,2.7417
Jan-92,393562,2.6891
Feb-92,438529,2.6012
Mar-92,433087,2.5779
Apr-92,423215,2.5521
May-92,414967,2.5223
Jun-92,551969,2.5187
Jul-92,449166,2.4999
Aug-92,516484,2.4977
Sep-92,448142,2.5029
Oct-92,484645,2.5044
Nov-92,533688,2.5227
Dec-92,599787,2.571
Jan-93,512035,2.5985
Feb-93,434407,2.6295
Mar-93,499333,2.6051
Apr-93,503994,2.5777
May-93,484711,2.5661
Jun-93,655720,2.5696
Jul-93,568503,2.5672
Aug-93,628866,2.5514
Sep-93,463869,2.5475
Oct-93,505954,2.5478
Nov-93,561877,2.5548
Dec-93,684591,2.5737
Jan-94,517596,2.716
Feb-94,581811,2.7624
Mar-94,565293,2.7171
Apr-94,553649,2.6887
May-94,586867,2.6169
Jun-94,732380,2.5942
Jul-94,654082,2.5948
Aug-94,614847,2.5633
Sep-94,594897,2.5575
Oct-94,563288,2.5589
Nov-94,540019,2.5604
Dec-94,692500,2.5626
Jan-95,608015,2.5556
Feb-95,514212,2.5526
Mar-95,674541,2.5464
Apr-95,576918,2.4787
May-95,655372,2.4684
Jun-95,749420,2.4396
Jul-95,596182,2.45
Aug-95,606120,2.4813
Sep-95,615527,2.5124
Oct-95,565145,2.5324
Nov-95,578734,2.5389
Dec-95,728563,2.5399
Jan-96,563020,2.5563
Feb-96,472023,2.5487
Mar-96,629917,2.5417
Apr-96,646165,2.5113
May-96,518213,2.4936
Jun-96,804030,2.4967
Jul-96,456505,2.4915
Aug-96,586041,2.4933
Sep-96,523746,2.5009
Oct-96,579675,2.5074
Nov-96,610795,2.5234
Dec-96,748322,2.5251
Jan-97,453865,2.49
Feb-97,630080,2.4866
Mar-97,616842,2.4773
Apr-97,337701,2.5028
May-97,585649,2.507
Jun-97,723525,2.5167
Jul-97,506592,2.5815
Aug-97,501955,2.7589
Sep-97,464800,3.0254
Oct-97,438140,3.2972
Nov-97,466762,3.3791
Dec-97,485010,3.7907
Jan-98,332931,4.4093
Feb-98,149524,3.8148
Mar-98,559422,3.7456
Apr-98,574261,3.7376
May-98,469479,3.8204
Jun-98,577010,4.0006
Jul-98,299483,4.1591
Aug-98,596239,4.2036
Sep-98,477080,3.805
Oct-98,459713,3.8
Nov-98,461985,3.8
Dec-98,593621,3.8014
Jan-99,508726,3.8
Feb-99,472440,3.8
Mar-99,613852,3.8
Apr-99,532764,3.8
May-99,588151,3.8
Jun-99,710163,3.8
Jul-99,641761,3.8
Aug-99,627300,3.8
Sep-99,699756,3.8
Oct-99,865800,3.8
Nov-99,873537,3.8
Dec-99,796899,3.8
Jan-00,731509,3.8
Feb-00,786040,3.8
Mar-00,737678,3.8
Apr-00,916382,3.8
May-00,894350,3.8
Jun-00,960782,3.8
Jul-00,811876,3.8
Aug-00,764500,3.8
Sep-00,778587,3.8
Oct-00,990658,3.8
Nov-00,806648,3.8
Dec-00,1042572,3.8
Jan-01,1052854,3.8
Feb-01,1090219,3.8
Mar-01,1492235,3.8
Apr-01,1358776,3.8
May-01,1038210,3.8
Jun-01,1308788,3.8
Jul-01,1125504,3.8
Aug-01,1149987,3.8
Sep-01,927206,3.8
Oct-01,596202,3.8001
Nov-01,759321,3.8
Dec-01,975771,3.8
Jan-02,834519,3.8
Feb-02,986408,3.8002
Mar-02,1272810,3.8
Apr-02,1106053,3.8
May-02,1153033,3.8
Jun-02,1297536,3.8
Jul-02,1135691,3.8
Aug-02,1163724,3.8
Sep-02,1029120,3.8
Oct-02,1015946,3.8
Nov-02,1061229,3.8
Dec-02,1253941,3.8
Jan-03,1070428,3.8
Feb-03,985343,3.8
Mar-03,819376,3.8
Apr-03,456374,3.8
May-03,541267,3.8
Jun-03,719047,3.8
Jul-03,753029,3.8
Aug-03,826234,3.8
Sep-03,943526,3.8
Oct-03,994858,3.8
Nov-03,1135493,3.8
Dec-03,1328940,3.8
Jan-04,1408378,3.8
Feb-04,1295913,3.8
Mar-04,1274230,3.8
Apr-04,1266824,3.8
May-04,1262717,3.8
Jun-04,1381355,3.8
Jul-04,1227052,3.8
Aug-04,1268237,3.8
Sep-04,1326549,3.8
Oct-04,1359498,3.8
Nov-04,1329208,3.8
Dec-04,1303445,3.8
Jan-05,1394032,3.8
Feb-05,1346550,3.8
Mar-05,1419275,3.8
Apr-05,1317749,3.8
May-05,1351141,3.8
Jun-05,1339051,3.8
Jul-05,1317276,3.7872
Aug-05,1393666,3.7589
Sep-05,1335027,3.7689
Oct-05,1367735,3.7735
Nov-05,1432317,3.7782
Dec-05,1417236,3.778
Jan-06,1453803,3.753
Feb-06,1384479,3.7276
Mar-06,1541056,3.704
Apr-06,1422576,3.6626
May-06,1393656,3.6091
Jun-06,1368651,3.6638
Jul-06,1450319,3.6679
Aug-06,1503748,3.673
Sep-06,1384890,3.6699
Oct-06,1540070,3.6762
Nov-06,1564286,3.6413
Dec-06,1539329,3.5477
Jan-07,1721786,3.5065
Feb-07,1652004,3.4949
Mar-07,1906304,3.4894
Apr-07,1764868,3.4364
May-07,1841870,3.4002
Jun-07,1803594,3.4444
Jul-07,1713951,3.4397
Aug-07,1642899,3.4826
Sep-07,1601016,3.4691
Oct-07,1673922,3.3735
Nov-07,1764586,3.3588
Dec-07,1886022,3.3324
Jan-08,1780134,3.2653
Feb-08,1742468,3.2216
Mar-08,1819689,3.1841
Apr-08,1760326,3.1604
May-08,1899148,3.2127
Jun-08,1961355,3.2568
Jul-08,1928082,3.2476
Aug-08,1839235,3.33
Sep-08,1599418,3.4405
Oct-08,1818304,3.5222
Nov-08,1845645,3.5843
Dec-08,2058684,3.5483
Jan-09,1871099,3.5705
Feb-09,1613309,3.6345
Mar-09,1975776,3.6726
Apr-09,1883873,3.6053
May-09,1894059,3.5218
Jun-09,2108328,3.5156
Jul-09,2003724,3.5443
Aug-09,2030337,3.5156
Sep-09,1997535,3.4899
Oct-09,2078485,3.4016
Nov-09,2048595,3.3886
Dec-09,2141071,3.4099
Jan-10,1896918,3.375
Feb-10,1832300,3.4139
Mar-10,2022590,3.3205
Apr-10,1877934,3.2044
May-10,1992277,3.2509
Jun-10,2246084,3.2633
Jul-10,2214092,3.2035
Aug-10,2099485,3.1516
Sep-10,2053406,3.1032
Oct-10,2137735,3.0989
Nov-10,2081354,3.1132
Dec-10,2123021,3.1283
Jan-11,1918751,3.0595
Feb-11,1669288,3.0453
Mar-11,1952343,3.0341
Apr-11,1891350,3.0101
May-11,1892095,3.0127
Jun-11,2039035,3.0269
Jul-11,2406100,2.9924
Aug-11,2166937,2.9824
Sep-11,2094104,3.0838
Oct-11,2189014,3.1336
Nov-11,2225534,3.1521
Dec-11,2269773,3.159
Jan-12,1817061,3.1092
Feb-12,1773471,3.022
Mar-12,1972006,3.0444
Apr-12,1924129,3.0586
May-12,1951925,3.0978
Jun-12,2193886,3.1783
Jul-12,2306675,3.1653
Aug-12,2240687,3.1153
Sep-12,1973803,3.0758
Oct-12,2205979,3.0524
Nov-12,2236473,3.0555
Dec-12,2436613,3.0537
Jan-13,2070394,3.0407
Feb-13,2002709,3.0964
Mar-13,2376295,3.1074
Apr-13,1984982,3.048
May-13,2044039,3.0188
Jun-13,2074312,3.1433
Jul-13,2129393,3.1916
Aug-13,1980960,3.2769
Sep-13,2093392,3.2495
Oct-13,2106569,3.1734
Nov-13,2045850,3.1961
Dec-13,2806565,3.2491
Jan-14,2447397,3.3028
Feb-14,2118540,3.3068
Mar-14,2525496,3.2801
Apr-14,2175009,3.2539
May-14,2266417,3.2291
Jun-14,2342187,3.2175
Jul-14,2229920,3.1808
Aug-14,2273271,3.1766
Sep-14,2233545,3.2182
Oct-14,2247666,3.2677
Nov-14,2130022,3.3454
Dec-14,2447845,3.4768
Jan-15,2291603,3.5847
Feb-15,1949016,3.5972
Mar-15,2242077,3.6793
Apr-15,2071922,3.632
May-15,2118890,3.5976
Jun-15,1893792,3.7371
Jul-15,2216049,3.802
Aug-15,2182536,4.0623
Sep-15,2084339,4.3076
Oct-15,2082866,4.2557
Nov-15,2004694,4.3131
Dec-15,2583467,4.2791
Jan-16,2376166,4.3388
Feb-16,2091098,4.178
Mar-16,2198716,4.0644
Apr-16,2101280,3.8971
May-16,2144119,4.0375
Jun-16,2121396,4.0772
Jul-16,2296615,4.0151
Aug-16,2282173,4.0219
Sep-16,2118367,4.1059
Oct-16,2326487,4.1738
Nov-16,2054165,4.3259
Dec-16,2646810,4.4573
Jan-17,2350270,4.455
Feb-17,2043215,4.4401
Mar-17,2238184,4.4358
Apr-17,2145734,4.403
May-17,2039016,4.3164
Jun-17,2134647,4.276
Jul-17,2263478,4.2875
Aug-17,2129013,4.282
Sep-17,2092378,4.2089
Oct-17,2068995,4.228
Nov-17,2007965,4.169
Dec-17,2435564,4.0775
Jan-18,2276750,3.9517
Feb-18,2050613,3.9104
Mar-18,2192855,3.9013
Apr-18,1957248,3.8855
May-18,1976981,3.9586
Jun-18,2275921,3.9973
Jul-18,2305324,4.0479
Aug-18,2253534,4.0917
